Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.90754E-4,45.515258125,0.626999336,0.159248269,0.346456693,0.419354839
1.91614E-4,45.763921625,0.628652556,0.157962413,0.346456693,0.419354839
1.92968E-4,46.014171399,0.631243658,0.156676558,0.346456693,0.419354839
1.93761E-4,46.265651361,0.632752679,0.155390702,0.346456693,0.419354839
1.94792E-4,46.5183711,0.63470475,0.154104847,0.346456693,0.419354839
1.95508E-4,46.752619422,0.636053247,0.152917903,0.346456693,0.419354839
1.96074E-4,47.007113775,0.637116946,0.151632047,0.354330709,0.419354839
1.97419E-4,47.26297089,0.639632004,0.150346192,0.354330709,0.419354839
1.98446E-4,47.500531519,0.641540843,0.149159248,0.354330709,0.419354839
1.99546E-4,47.759370292,0.643573295,0.147873393,0.354330709,0.419354839
1.99973E-4,48.019084674,0.644359703,0.146587537,0.362204724,0.419354839
2.00936E-4,48.259692715,0.646125515,0.145400593,0.362204724,0.419354839
2.02385E-4,48.501590136,0.648766401,0.14421365,0.362204724,0.451612903
2.03571E-4,48.765554125,0.650912919,0.142927794,0.362204724,0.451612903
2.046E-4,49.010639764,0.652765934,0.141740851,0.37007874,0.451612903
2.05717E-4,49.257182317,0.654764296,0.140553907,0.377952756,0.451612903
2.06486E-4,49.504660631,0.656135301,0.139366963,0.377952756,0.451612903
2.07303E-4,49.753113168,0.657583736,0.13818002,0.377952756,0.451612903
2.08262E-4,50.002479712,0.659277682,0.136993076,0.377952756,0.451612903
2.09558E-4,50.253228221,0.661552597,0.135806133,0.377952756,0.451612903
2.10334E-4,50.505108603,0.662908255,0.134619189,0.377952756,0.451612903
2.12108E-4,50.758838816,0.665985958,0.133432245,0.377952756,0.451612903
2.13307E-4,51.014261051,0.668049788,0.132245302,0.377952756,0.451612903
2.15428E-4,51.250173194,0.671669015,0.13115727,0.377952756,0.451612903
2.17011E-4,51.509691787,0.674345503,0.129970326,0.377952756,0.451612903
2.1896E-4,51.771189156,0.677609876,0.128783383,0.377952756,0.451612903
2.19972E-4,52.012569702,0.679291934,0.127695351,0.385826772,0.451612903
2.20809E-4,52.255087488,0.680677638,0.126607319,0.393700787,0.451612903
2.21347E-4,52.520471157,0.68156439,0.125420376,0.401574803,0.451612903
2.22508E-4,52.764668699,0.683469998,0.124332344,0.401574803,0.483870968
2.23205E-4,53.009850652,0.68460817,0.123244313,0.401574803,0.483870968
2.24605E-4,53.256077279,0.68688219,0.122156281,0.401574803,0.483870968
2.26344E-4,53.504205614,0.68968463,0.121068249,0.401574803,0.483870968
2.27751E-4,53.753972967,0.691934492,0.119980218,0.401574803,0.483870968
2.28784E-4,54.005016167,0.69357539,0.118892186,0.417322835,0.483870968
2.30775E-4,54.254175179,0.696712544,0.117804154,0.42519685,0.483870968
2.32364E-4,54.512920974,0.699194545,0.116716123,0.433070866,0.516129032
2.33688E-4,54.769386437,0.701246198,0.115628091,0.440944882,0.516129032
2.35196E-4,55.003943482,0.703566463,0.114638971,0.440944882,0.548387097
2.36494E-4,55.263380706,0.705549223,0.11355094,0.448818898,0.548387097
